T,L,uT,uL,L0,uL0
124.5,0,0.134086493,0,-2.285714286,0.659856457
123.5,0.16,0.134164777,0.048,0,0.659828879
120.7,0.68,0.134387031,0.11,3.428571429,0.659890927
116.4,1.56,0.134737077,0.16,10.28571429,0.660387101
111,2.72,0.135191531,0.21,12.57142857,0.660662592
103.4,4.3,0.135858861,0.26,29.71428571,0.664473242
96.5,6.12,0.136492445,0.31,42.28571429,0.669200943
86.2,8.26,0.137486496,0.35,57.14285714,0.676845793
76,10.72,0.138526772,0.4,73.14285714,0.687489145
64,13.5,0.139820123,0.45,91.42857143,0.702569647
54,16.4,0.140953893,0.49,107.4285714,0.718169818
42.3,20.24,0.142343273,0.55,128,0.741285957
