L,Vr,Vd
0,0.625,0.60812
1,0.11339,0.11483
2,0.10254,
3,0.1002,0.10047
4,0.101721,
5,0.1077,0.10593
6,0.11142,
7,0.116535,0.1144
8,0.118,
9,0.12358,0.12345
10,0.12928,
11,0.1334,0.1314
12,0.13742,
13,0.14046,0.1401
14,0.14388,
15,0.14831,0.14742
17,0.15269,0.15202
19,0.15815,0.15738
21,0.16405,
23,0.16951,
25,0.17386,0.17311
27,0.17756,
29,0.18207,
31,0.18605,
33,0.1893,
35,0.19348,0.19241
37,0.19483,
39,0.19554,
41,0.19554,
43,0.19901,
45,0.20269,0.21045
47,0.21093,
49,0.2144,
51,0.2159,
53,0.22499,
55,0.23124,0.2382
57,0.2438,
59,0.24965,
61,0.26719,
63,0.28555,
65,0.3479,0.36427
67,0.52008,
69,0.60103,
71,0.68734,
73,0.82934,
75,0.9046,0.95651
