"","TempPt100.C.","epsil.mV.","Rtherm.kOhm.","Rpt100.Ohm."
"1",92.2368758046945,2.572,0.93415,134.375
"2",89.3501520547444,2.385,1.06369,132.84
"3",87.5447743349059,2.27,1.15377,131.88
"4",86.0252480873751,2.174,1.24194,131.072
"5",84.6129161419598,2.087,1.32,130.321
"6",83.2927336843279,2.004,1.40206,129.619
"7",82.1944622380928,1.935,1.47559,129.035
"8",81.1432058366452,1.872,1.54648,128.476
"9",80.0580986029506,1.807,1.62644,127.899
"10",79.1516485394484,1.752,1.70171,127.417
"11",78.3223031493976,1.719,1.76905,126.976
"12",77.5343309987597,1.684,1.83385,126.557
"13",76.8272247251563,1.65,1.90023,126.181
