f,R,R_rav
0,33.2442,33.2543
0.05,33.256,33.2657
0.1,33.267,33.2757
0.15,33.2781,33.2859
0.2,33.2886,33.2951
0.25,33.2993,33.3082
0.3,33.3102,33.3178
0.35,33.3212,33.3289
0.4,33.332,33.339
0.45,33.341,33.3493
0.5,33.352,33.3602
0.55,33.3624,33.3714
0.6,33.3737,33.3813
0.65,33.3897,33.3922
0.7,33.3955,33.4043
0.75,33.418,33.4138
0.8,33.4259,33.4259
-0.05,33.2324,33.2363
-0.1,33.221,33.2263
-0.15,33.2082,33.2129
-0.2,33.196,33.2007
-0.25,33.1848,33.1893
-0.3,33.1737,33.1778
-0.35,33.1626,33.1666
-0.4,33.1518,33.1557
-0.45,33.1401,33.144
-0.5,33.128,33.1318
-0.55,33.1159,33.1187
-0.6,33.1039,33.1064
-0.65,33.0919,33.0941
-0.7,33.08,33.0821
-0.75,33.0691,33.0703
-0.8,33.0584,33.0584
