Mode,Time(s),Value
CAP,31.5223960876,4.774706E-11
CAP,31.9158840179,4.788993E-11
CAP,32.3165893555,4.787692E-11
CAP,32.7172698975,4.800042E-11
CAP,33.1189727783,4.810353E-11
CAP,33.5196037292,4.820747E-11
CAP,33.9203453064,4.819233E-11
CAP,34.3211212158,4.839112E-11
CAP,34.7217521667,4.841922E-11
CAP,35.1225471497,4.845820E-11
CAP,35.5232086182,4.842572E-11
CAP,35.9239349365,4.851564E-11
CAP,36.3247146606,4.850662E-11
CAP,36.7254371643,4.842363E-11
CAP,37.1261596680,4.860505E-11
CAP,37.5268707275,4.831888E-11
CAP,37.9275207520,4.804251E-11
CAP,38.3280868530,4.796669E-11
CAP,38.7287597656,4.801629E-11
CAP,39.1295394897,4.805026E-11
CAP,39.5302696228,4.805101E-11
CAP,39.9309806824,4.806886E-11
CAP,40.3316650391,4.805274E-11
CAP,40.7324867249,4.805423E-11
CAP,41.1332511902,4.805993E-11
CAP,41.5339622498,4.806340E-11
CAP,41.9346694946,4.803166E-11
CAP,42.3354797363,4.805101E-11
CAP,42.7362556458,4.803538E-11
CAP,43.1370811462,4.806836E-11
CAP,43.5377922058,4.808424E-11
CAP,43.9384880066,4.809887E-11
CAP,44.3391265869,4.806588E-11
CAP,44.7398414612,4.804970E-11
CAP,45.1418190002,4.810551E-11
CAP,45.5424575806,4.809237E-11
CAP,45.9431381226,4.810948E-11
CAP,46.3438720703,4.812809E-11
CAP,46.7446174622,4.813458E-11
CAP,47.1453742981,4.813925E-11
CAP,47.5461196899,4.815144E-11
CAP,47.9468269348,4.808616E-11
CAP,48.3476066589,4.812813E-11
CAP,48.7482490540,4.811449E-11
CAP,49.1514320374,2.008656E-14
CAP,49.5521850586,-3.868523E-14
CAP,49.9528770447,3.178983E-15
CAP,50.3536491394,-2.504621E-14
CAP,50.7544174194,-6.943503E-14
CAP,51.1553649902,8.652751E-14
CAP,51.5560379028,-1.096082E-13
CAP,51.9567985535,-8.261623E-13
CAP,52.3574562073,-1.194174E-12
CAP,52.7581672668,-2.839740E-12
CAP,53.1588630676,-2.646012E-12
CAP,53.5595817566,-2.340733E-12
CAP,53.9601593018,-2.602462E-12
CAP,54.3608207703,-2.508637E-12
CAP,54.7616386414,-2.180603E-12
CAP,55.1623611450,-2.755529E-12
CAP,55.5630874634,-2.458729E-12
CAP,55.9637756348,-2.154215E-12
CAP,56.3643722534,-2.180105E-12
CAP,56.7651138306,-2.134262E-12
CAP,57.1684074402,-2.141657E-12
CAP,57.5690498352,-2.131058E-12
CAP,57.9697685242,-2.110846E-12
CAP,58.3704566956,-2.097257E-12
CAP,58.7711753845,-2.100709E-12
CAP,59.1718025208,-2.104930E-12
CAP,59.5726318359,6.703626E-11
CAP,59.9732398987,2.402067E-11
CAP,60.3740196228,2.561775E-10
CAP,60.7748565674,2.227947E-10
CAP,61.1756553650,1.810999E-10
CAP,61.5763702393,2.099793E-10
CAP,61.9770431519,1.832663E-10
CAP,62.3778495789,1.703883E-10
CAP,62.7784729004,1.698533E-10
CAP,63.1791191101,1.695157E-10
CAP,63.5798950195,1.696256E-10
CAP,63.9807014465,1.702901E-10
CAP,64.3814392090,1.708689E-10
CAP,64.7821044922,1.714938E-10
CAP,65.1854171753,1.704181E-10
CAP,65.5861740112,1.704552E-10
CAP,65.9869689941,1.705590E-10
CAP,66.3877258301,1.705924E-10
CAP,66.7885360718,1.706483E-10
CAP,67.1893234253,1.706436E-10
CAP,67.5901031494,1.706347E-10
CAP,67.9908142090,1.704652E-10
CAP,68.3915634155,1.703397E-10
CAP,68.7923355103,1.705067E-10
CAP,69.1930618286,1.705060E-10
CAP,69.5937500000,1.703916E-10
CAP,69.9945678711,1.704290E-10
CAP,70.3955535889,1.704659E-10
CAP,70.7963104248,1.703264E-10
CAP,71.2004852295,1.704144E-10
CAP,71.6012802124,1.703397E-10
CAP,72.0043869019,1.704335E-10
CAP,72.4027328491,1.703242E-10
CAP,72.8035049438,1.703592E-10
CAP,73.2042388916,1.703942E-10
CAP,73.6049118042,1.703305E-10
CAP,74.0055847168,1.703776E-10
CAP,74.4064178467,1.703297E-10
CAP,74.8070831299,1.703162E-10
CAP,75.2079696655,1.703492E-10
CAP,75.6088104248,1.703610E-10
CAP,76.0116271973,1.703356E-10
CAP,76.4123611450,1.703047E-10
CAP,76.8130340576,1.702915E-10
CAP,77.2138595581,1.703125E-10
CAP,77.6144943237,1.703272E-10
CAP,78.0152587891,1.703242E-10
CAP,78.4159927368,1.704525E-10
CAP,78.8167343140,1.702180E-10
CAP,79.2175064087,1.701820E-10
CAP,79.6181182861,1.703522E-10
CAP,80.0187988281,1.703224E-10
CAP,80.4195938110,1.702794E-10
CAP,80.8203735352,1.702989E-10
CAP,81.2211990356,1.703073E-10
CAP,81.6220092773,1.703169E-10
CAP,82.0227050781,1.702658E-10
CAP,82.4234313965,1.702264E-10
CAP,82.8240966797,1.702882E-10
CAP,83.2247543335,1.702327E-10
CAP,83.6255111694,1.702132E-10
CAP,84.0287628174,1.703037E-10
CAP,84.4293594360,1.702691E-10
CAP,84.8301773071,1.702691E-10
CAP,85.2309417725,1.702772E-10
CAP,85.6316528320,1.702470E-10
CAP,86.0324325562,1.702353E-10
CAP,86.4331436157,1.702628E-10
CAP,86.8339614868,1.702371E-10
CAP,87.2346801758,1.702551E-10
CAP,87.6354675293,1.703242E-10
CAP,88.0362548828,1.702147E-10
CAP,88.4386672974,1.702103E-10
CAP,88.8393096924,1.702176E-10
CAP,89.2401123047,1.702250E-10
CAP,89.6408157349,1.702275E-10
CAP,90.0415420532,1.702161E-10
CAP,90.4423446655,1.702514E-10
CAP,90.8432159424,1.702253E-10
CAP,91.2439041138,1.702169E-10
CAP,91.6446990967,1.702235E-10
CAP,92.0453414917,1.702154E-10
CAP,92.4481124878,1.701934E-10
