Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Tuesday, November 26, 2024 11:21:43 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 397 - 417

Spectrum range [nm]: 360.4 - 916.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	18.0
361.1	18.0
361.9	18.0
362.6	18.0
363.4	18.0
364.1	18.0
364.8	18.0
365.6	15.8
366.3	15.8
367.0	15.8
367.8	15.8
368.5	16.6
369.2	16.6
370.0	16.6
370.7	16.6
371.4	17.4
372.2	17.4
372.9	17.5
373.6	17.5
374.4	17.8
375.1	17.8
375.8	17.8
376.5	17.8
377.3	18.0
378.0	18.0
378.7	18.0
379.5	17.6
380.2	17.4
380.9	17.4
381.6	17.0
382.4	17.0
383.1	17.6
383.8	17.6
384.5	17.6
385.3	17.6
386.0	17.6
386.7	17.6
387.4	17.6
388.1	17.6
388.9	18.4
389.6	18.4
390.3	18.4
391.0	18.4
391.8	18.4
392.5	18.4
393.2	18.4
393.9	18.4
394.6	18.2
395.3	18.2
396.1	18.2
396.8	18.2
397.5	18.2
398.2	18.2
398.9	18.2
399.6	18.2
400.3	18.9
401.1	18.9
401.8	19.0
402.5	19.0
403.2	19.2
403.9	19.2
404.6	19.5
405.3	19.5
406.0	20.3
406.8	20.3
407.5	20.6
408.2	20.6
408.9	20.9
409.6	20.9
410.3	20.9
411.0	20.9
411.7	21.4
412.4	21.2
413.1	26.1
413.8	26.1
414.5	27.3
415.2	28.3
415.9	38.5
416.6	39.1
417.3	64.1
418.0	65.3
418.7	62.0
419.4	61.0
420.1	37.9
420.8	36.1
421.5	29.1
422.2	29.2
422.9	26.4
423.6	26.3
424.3	26.1
425.0	26.1
425.7	25.8
426.4	25.8
427.1	25.8
427.8	25.8
428.5	25.4
429.2	25.5
429.9	25.5
430.6	25.7
431.3	25.8
432.0	25.9
432.7	26.0
433.4	26.1
434.1	27.8
434.8	27.7
435.5	27.7
436.1	27.4
436.8	28.6
437.5	28.6
438.2	29.4
438.9	29.5
439.6	31.4
440.3	31.4
441.0	32.7
441.6	32.7
442.3	33.5
443.0	33.5
443.7	33.8
444.4	33.8
445.1	35.5
445.8	35.5
446.4	36.4
447.1	36.4
447.8	37.7
448.5	37.7
449.2	39.4
449.9	39.4
450.5	42.9
451.2	42.9
451.9	44.8
452.6	44.8
453.2	46.2
453.9	46.2
454.6	47.1
455.3	47.1
456.0	52.6
456.6	52.7
457.3	53.8
458.0	54.1
458.7	56.3
459.3	56.4
460.0	59.2
460.7	59.2
461.4	62.7
462.0	62.8
462.7	65.2
463.4	65.6
464.0	68.0
464.7	68.3
465.4	69.7
466.1	69.8
466.7	64.9
467.4	65.1
468.1	86.6
468.7	87.0
469.4	79.6
470.1	80.0
470.7	86.1
471.4	86.2
472.1	108.2
472.7	107.2
473.4	90.8
474.1	93.2
474.7	125.8
475.4	126.8
476.1	238.6
476.7	248.3
477.4	255.0
478.0	254.8
478.7	203.9
479.4	182.0
480.0	122.8
480.7	125.6
481.3	112.1
482.0	111.9
482.7	112.4
483.3	112.4
484.0	104.3
484.6	104.3
485.3	101.5
485.9	101.5
486.6	110.5
487.3	110.5
487.9	110.2
488.6	110.2
489.2	110.5
489.9	110.5
490.5	111.5
491.2	111.5
491.8	112.5
492.5	112.5
493.1	113.8
493.8	113.9
494.4	115.2
495.1	115.3
495.7	116.4
496.4	116.5
497.0	117.1
497.7	117.2
498.3	119.2
499.0	119.2
499.6	119.5
500.3	119.5
500.9	120.4
501.6	120.4
502.2	121.3
502.8	121.3
503.5	123.7
504.1	123.7
504.8	124.9
505.4	124.9
506.1	125.8
506.7	125.8
507.3	126.1
508.0	126.1
508.6	126.0
509.3	126.0
509.9	126.0
510.5	126.0
511.2	126.0
511.8	126.0
512.5	126.0
513.1	126.0
513.7	126.0
514.4	126.0
515.0	126.0
515.6	126.0
516.3	126.0
516.9	126.0
517.5	126.0
518.2	126.0
518.8	123.3
519.4	123.3
520.1	122.8
520.7	122.7
521.3	122.2
522.0	122.1
522.6	121.0
523.2	121.0
523.8	120.0
524.5	120.0
525.1	119.4
525.7	119.4
526.4	118.8
527.0	118.8
527.6	118.4
528.2	118.4
528.9	115.6
529.5	115.5
530.1	114.6
530.7	114.4
531.4	112.9
532.0	112.7
532.6	110.5
533.2	110.3
533.8	108.3
534.5	108.3
535.1	106.2
535.7	106.2
536.3	104.8
536.9	104.8
537.6	103.9
538.2	103.9
538.8	100.4
539.4	100.4
540.0	99.5
540.7	99.5
541.3	97.8
541.9	97.8
542.5	95.5
543.1	95.5
543.7	93.0
544.3	93.0
545.0	90.7
545.6	90.7
546.2	88.8
546.8	88.8
547.4	88.0
548.0	88.0
548.6	85.8
549.2	86.0
549.8	85.4
550.5	85.8
551.1	85.3
551.7	85.5
552.3	85.9
552.9	86.1
553.5	89.3
554.1	89.7
554.7	94.2
555.3	95.4
555.9	99.8
556.5	101.1
557.1	104.6
557.7	105.2
558.3	111.9
558.9	112.8
559.5	115.1
560.1	116.2
560.7	117.6
561.3	117.6
561.9	116.4
562.5	116.1
563.1	111.9
563.7	111.6
564.3	105.3
564.9	104.7
565.5	98.2
566.1	97.3
566.7	93.3
567.3	92.9
567.9	88.5
568.5	88.3
569.1	85.7
569.7	85.0
570.3	81.2
570.9	80.4
571.5	75.4
572.1	75.2
572.7	68.9
573.3	68.7
573.9	64.2
574.4	64.1
575.0	60.2
575.6	59.9
576.2	58.1
576.8	57.9
577.4	52.9
578.0	52.7
578.6	51.7
579.2	51.1
579.7	48.7
580.3	48.3
580.9	46.4
581.5	46.2
582.1	43.7
582.7	43.7
583.3	41.5
583.8	41.4
584.4	40.1
585.0	40.1
585.6	39.7
