Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Tuesday, November 26, 2024 11:26:09 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 397 - 417

Spectrum range [nm]: 360.4 - 916.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	25.8
361.1	24.8
361.9	24.7
362.6	24.9
363.4	24.7
364.1	24.6
364.8	24.5
365.6	25.4
366.3	25.4
367.0	25.0
367.8	25.0
368.5	24.8
369.2	24.9
370.0	24.5
370.7	24.5
371.4	24.0
372.2	24.0
372.9	23.4
373.6	23.4
374.4	23.4
375.1	23.4
375.8	23.1
376.5	23.1
377.3	24.1
378.0	24.2
378.7	24.7
379.5	24.8
380.2	24.9
380.9	24.9
381.6	25.3
382.4	25.4
383.1	25.3
383.8	25.4
384.5	25.8
385.3	25.9
386.0	26.1
386.7	26.1
387.4	26.8
388.1	26.8
388.9	27.6
389.6	27.6
390.3	27.6
391.0	27.6
391.8	27.6
392.5	27.6
393.2	27.6
393.9	27.6
394.6	27.9
395.3	27.9
396.1	27.9
396.8	27.9
397.5	27.9
398.2	27.9
398.9	27.9
399.6	27.9
400.3	29.3
401.1	29.3
401.8	29.3
402.5	29.3
403.2	29.6
403.9	29.6
404.6	29.8
405.3	29.9
406.0	30.3
406.8	29.9
407.5	29.5
408.2	29.5
408.9	29.5
409.6	29.5
410.3	29.9
411.0	30.3
411.7	30.3
412.4	30.3
413.1	30.6
413.8	30.8
414.5	31.4
415.2	31.5
415.9	32.3
416.6	32.3
417.3	33.7
418.0	33.7
418.7	34.5
419.4	34.5
420.1	34.9
420.8	34.9
421.5	35.1
422.2	35.1
422.9	33.5
423.6	33.5
424.3	33.8
425.0	33.8
425.7	34.3
426.4	34.3
427.1	34.7
427.8	34.7
428.5	36.1
429.2	36.1
429.9	36.7
430.6	36.7
431.3	37.2
432.0	37.2
432.7	37.4
433.4	37.4
434.1	36.1
434.8	36.0
435.5	36.2
436.1	36.2
436.8	36.7
437.5	36.7
438.2	37.2
438.9	37.1
439.6	38.7
440.3	38.7
441.0	39.2
441.6	39.2
442.3	39.7
443.0	39.7
443.7	40.0
444.4	40.0
445.1	40.9
445.8	40.9
446.4	40.9
447.1	40.9
447.8	40.6
448.5	40.6
449.2	40.4
449.9	40.4
450.5	40.4
451.2	40.4
451.9	40.2
452.6	40.2
453.2	40.0
453.9	40.0
454.6	39.9
455.3	39.9
456.0	40.6
456.6	40.6
457.3	40.6
458.0	40.6
458.7	41.3
459.3	41.3
460.0	41.3
460.7	41.3
461.4	42.1
462.0	42.1
462.7	42.2
463.4	42.2
464.0	42.5
464.7	42.5
465.4	42.5
466.1	42.5
466.7	44.4
467.4	44.4
468.1	44.3
468.7	44.3
469.4	44.1
470.1	44.1
470.7	43.9
471.4	43.9
472.1	43.7
472.7	43.7
473.4	43.4
474.1	43.4
474.7	43.4
475.4	43.4
476.1	43.4
476.7	43.4
477.4	44.1
478.0	44.1
478.7	44.1
479.4	44.1
480.0	44.1
480.7	44.1
481.3	44.1
482.0	44.1
482.7	45.6
483.3	45.6
484.0	45.7
484.6	45.7
485.3	46.0
485.9	46.0
486.6	46.1
487.3	46.1
487.9	45.6
488.6	45.6
489.2	45.7
489.9	45.7
490.5	46.7
491.2	46.7
491.8	46.8
492.5	46.8
493.1	48.9
493.8	48.9
494.4	49.9
495.1	49.9
495.7	50.6
496.4	50.6
497.0	50.7
497.7	50.7
498.3	53.6
499.0	53.6
499.6	53.7
500.3	53.7
500.9	54.7
501.6	54.7
502.2	55.1
502.8	55.1
503.5	56.9
504.1	56.9
504.8	57.5
505.4	57.5
506.1	58.3
506.7	58.3
507.3	58.5
508.0	58.5
508.6	60.4
509.3	60.4
509.9	61.0
510.5	61.0
511.2	61.8
511.8	61.8
512.5	62.9
513.1	62.9
513.7	64.8
514.4	64.8
515.0	66.1
515.6	66.1
516.3	67.4
516.9	67.5
517.5	68.0
518.2	68.0
518.8	66.6
519.4	66.6
520.1	66.9
520.7	66.9
521.3	67.7
522.0	67.7
522.6	68.2
523.2	68.2
523.8	70.2
524.5	70.2
525.1	70.8
525.7	70.8
526.4	71.7
527.0	71.7
527.6	71.8
528.2	71.8
528.9	72.1
529.5	72.2
530.1	72.6
530.7	72.7
531.4	73.0
532.0	73.1
532.6	73.7
533.2	73.7
533.8	74.2
534.5	74.2
535.1	74.6
535.7	74.6
536.3	75.0
536.9	75.0
537.6	75.1
538.2	75.1
538.8	74.1
539.4	74.2
540.0	73.9
540.7	74.0
541.3	73.4
541.9	73.5
542.5	72.8
543.1	72.9
543.7	72.0
544.3	72.0
545.0	71.4
545.6	71.4
546.2	70.5
546.8	70.5
547.4	70.3
548.0	70.3
548.6	71.8
549.2	71.8
549.8	71.6
550.5	71.6
551.1	71.1
551.7	71.1
552.3	70.3
552.9	70.3
553.5	69.4
554.1	69.4
554.7	68.6
555.3	68.6
555.9	68.2
556.5	68.2
557.1	67.8
557.7	67.8
558.3	64.6
558.9	64.6
559.5	64.8
560.1	64.9
560.7	64.8
561.3	65.1
561.9	65.0
562.5	65.1
563.1	65.2
563.7	65.2
564.3	65.2
564.9	65.2
565.5	64.9
566.1	64.9
566.7	64.8
567.3	64.8
567.9	62.1
568.5	62.1
569.1	61.5
569.7	61.5
570.3	60.7
570.9	60.7
571.5	59.7
572.1	59.7
572.7	59.0
573.3	59.0
573.9	58.3
574.4	58.4
575.0	57.8
575.6	58.0
576.2	58.0
576.8	58.1
577.4	59.4
578.0	59.4
578.6	59.2
579.2	59.2
579.7	57.8
580.3	57.8
580.9	56.7
581.5	56.7
582.1	55.9
582.7	55.9
583.3	54.9
583.8	54.9
584.4	53.7
585.0	53.7
585.6	53.5
