Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Tuesday, November 26, 2024 11:17:31 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 394 - 414

Spectrum range [nm]: 360.4 - 916.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	22.6
361.1	22.6
361.9	22.6
362.6	22.6
363.4	22.6
364.1	22.6
364.8	22.6
365.6	20.9
366.3	20.9
367.0	21.0
367.8	21.0
368.5	21.0
369.2	21.0
370.0	21.9
370.7	21.9
371.4	23.2
372.2	23.2
372.9	23.5
373.6	23.5
374.4	24.0
375.1	24.0
375.8	24.6
376.5	24.6
377.3	22.4
378.0	22.4
378.7	22.4
379.5	22.0
380.2	22.0
380.9	22.0
381.6	21.2
382.4	21.2
383.1	21.1
383.8	21.1
384.5	21.1
385.3	21.1
386.0	21.0
386.7	21.0
387.4	21.0
388.1	21.0
388.9	21.8
389.6	21.8
390.3	21.8
391.0	21.8
391.8	21.8
392.5	21.8
393.2	22.2
393.9	22.2
394.6	23.0
395.3	23.0
396.1	23.0
396.8	23.0
397.5	23.4
398.2	23.4
398.9	23.4
399.6	23.4
400.3	23.5
401.1	23.5
401.8	23.6
402.5	23.6
403.2	23.3
403.9	23.3
404.6	23.3
405.3	23.3
406.0	22.5
406.8	22.5
407.5	22.5
408.2	22.5
408.9	22.4
409.6	22.4
410.3	22.4
411.0	22.4
411.7	21.0
412.4	21.0
413.1	21.0
413.8	21.0
414.5	21.0
415.2	21.0
415.9	21.0
416.6	21.0
417.3	21.9
418.0	21.9
418.7	21.9
419.4	21.9
420.1	22.0
420.8	22.0
421.5	22.3
422.2	22.3
422.9	23.1
423.6	23.1
424.3	23.1
425.0	23.1
425.7	22.7
426.4	22.7
427.1	22.7
427.8	22.7
428.5	22.3
429.2	22.3
429.9	23.1
430.6	23.1
431.3	23.2
432.0	23.2
432.7	23.5
433.4	23.5
434.1	21.7
434.8	21.7
435.5	21.7
436.1	21.7
436.8	21.7
437.5	21.7
438.2	21.7
438.9	21.7
439.6	21.8
440.3	21.8
441.0	22.1
441.6	22.1
442.3	22.1
443.0	22.1
443.7	22.1
444.4	22.1
445.1	22.0
445.8	22.0
446.4	22.0
447.1	22.0
447.8	22.0
448.5	22.0
449.2	22.0
449.9	22.0
450.5	21.8
451.2	21.8
451.9	21.8
452.6	21.8
453.2	21.8
453.9	21.8
454.6	21.8
455.3	21.8
456.0	23.3
456.6	23.3
457.3	23.3
458.0	23.3
458.7	23.3
459.3	23.3
460.0	23.3
460.7	23.3
461.4	23.4
462.0	23.4
462.7	23.4
463.4	23.4
464.0	23.4
464.7	23.4
465.4	23.4
466.1	23.4
466.7	23.6
467.4	23.6
468.1	23.6
468.7	23.6
469.4	23.6
470.1	23.6
470.7	23.6
471.4	23.6
472.1	23.4
472.7	23.4
473.4	23.4
474.1	23.4
474.7	23.4
475.4	23.4
476.1	23.4
476.7	23.4
477.4	22.7
478.0	22.7
478.7	22.6
479.4	22.6
480.0	22.6
480.7	22.6
481.3	22.6
482.0	22.6
482.7	22.8
483.3	22.9
484.0	23.0
484.6	23.1
485.3	23.3
485.9	23.5
486.6	23.5
487.3	23.7
487.9	24.3
488.6	24.3
489.2	24.3
489.9	24.3
490.5	24.3
491.2	24.3
491.8	24.4
492.5	24.4
493.1	23.9
493.8	23.9
494.4	24.0
495.1	24.0
495.7	24.0
496.4	24.0
497.0	24.0
497.7	24.0
498.3	27.6
499.0	27.6
499.6	27.6
500.3	27.6
500.9	26.8
501.6	26.8
502.2	26.8
502.8	26.8
503.5	26.4
504.1	26.4
504.8	25.6
505.4	25.6
506.1	25.6
506.7	25.6
507.3	25.6
508.0	25.6
508.6	24.0
509.3	24.0
509.9	24.0
510.5	24.0
511.2	24.6
511.8	24.6
512.5	25.1
513.1	25.1
513.7	26.0
514.4	26.0
515.0	26.6
515.6	26.6
516.3	27.7
516.9	27.7
517.5	27.9
518.2	27.9
518.8	27.1
519.4	27.1
520.1	26.9
520.7	26.9
521.3	26.6
522.0	26.6
522.6	26.2
523.2	26.2
523.8	25.5
524.5	25.5
525.1	25.0
525.7	25.0
526.4	24.7
527.0	24.7
527.6	24.5
528.2	24.5
528.9	26.4
529.5	26.4
530.1	26.4
530.7	26.4
531.4	26.4
532.0	26.4
532.6	26.5
533.2	26.5
533.8	26.9
534.5	26.9
535.1	27.0
535.7	27.0
536.3	27.0
536.9	27.0
537.6	27.1
538.2	27.1
538.8	26.6
539.4	26.6
540.0	26.4
540.7	26.4
541.3	26.1
541.9	26.1
542.5	25.6
543.1	25.6
543.7	25.5
544.3	25.5
545.0	25.0
545.6	25.0
546.2	24.8
546.8	24.8
547.4	24.6
548.0	24.6
548.6	24.1
549.2	24.1
549.8	24.9
550.5	24.9
551.1	24.9
551.7	24.9
552.3	25.7
552.9	25.7
553.5	25.8
554.1	25.8
554.7	26.6
555.3	26.6
555.9	26.7
556.5	26.7
557.1	27.0
557.7	27.0
558.3	23.1
558.9	23.1
559.5	23.1
560.1	23.1
560.7	23.1
561.3	23.1
561.9	23.1
562.5	23.1
563.1	24.1
563.7	24.1
564.3	24.1
564.9	24.1
565.5	24.1
566.1	24.1
566.7	24.1
567.3	24.1
567.9	24.2
568.5	24.2
569.1	24.1
569.7	24.1
570.3	24.1
570.9	24.1
571.5	23.8
572.1	23.8
572.7	24.0
573.3	24.0
573.9	23.7
574.4	23.7
575.0	23.7
575.6	23.7
576.2	23.4
576.8	23.4
577.4	22.6
578.0	22.6
578.6	22.6
579.2	22.6
579.7	22.6
580.3	22.6
580.9	22.6
581.5	22.6
582.1	23.0
582.7	23.0
583.3	23.0
583.8	23.0
584.4	23.0
585.0	23.0
585.6	23.0
