Spectrometer
Copyright © Kvant 2018. All rights reserved.

Date: Tuesday, November 26, 2024 11:24:18 AM
Source image name: .bmp
Source image [pixels]: 1280 x 720
Source image processed height [pixels]: 20
Source image processed [position pixel range]: 397 - 417

Spectrum range [nm]: 360.4 - 916.3

Chart Points:

Wave Length [nm]	Intensity [a.u.]

===START===
360.4	19.3
361.1	19.6
361.9	19.6
362.6	19.6
363.4	19.6
364.1	19.3
364.8	19.0
365.6	19.6
366.3	19.6
367.0	19.6
367.8	19.6
368.5	19.3
369.2	19.3
370.0	19.1
370.7	19.1
371.4	19.4
372.2	19.4
372.9	19.2
373.6	19.2
374.4	19.0
375.1	19.0
375.8	18.9
376.5	18.9
377.3	18.3
378.0	18.3
378.7	18.3
379.5	17.9
380.2	17.9
380.9	17.9
381.6	17.6
382.4	17.6
383.1	18.0
383.8	18.0
384.5	18.0
385.3	18.2
386.0	18.8
386.7	19.0
387.4	19.1
388.1	19.1
388.9	18.5
389.6	18.5
390.3	18.5
391.0	18.5
391.8	18.5
392.5	18.5
393.2	18.5
393.9	18.5
394.6	18.7
395.3	18.7
396.1	18.7
396.8	18.7
397.5	18.7
398.2	18.7
398.9	18.7
399.6	18.7
400.3	19.7
401.1	19.7
401.8	19.7
402.5	19.7
403.2	19.7
403.9	19.7
404.6	19.7
405.3	19.7
406.0	19.7
406.8	19.7
407.5	19.7
408.2	19.7
408.9	19.7
409.6	19.7
410.3	19.7
411.0	19.7
411.7	22.3
412.4	22.3
413.1	22.3
413.8	22.3
414.5	22.3
415.2	22.3
415.9	22.3
416.6	22.3
417.3	22.3
418.0	22.3
418.7	22.3
419.4	22.3
420.1	22.3
420.8	22.3
421.5	22.3
422.2	22.3
422.9	23.0
423.6	23.0
424.3	23.0
425.0	23.0
425.7	23.0
426.4	23.0
427.1	23.0
427.8	23.0
428.5	22.5
429.2	22.5
429.9	22.5
430.6	22.5
431.3	22.5
432.0	22.5
432.7	22.5
433.4	22.5
434.1	24.0
434.8	24.0
435.5	24.0
436.1	24.0
436.8	24.0
437.5	24.0
438.2	24.0
438.9	24.0
439.6	25.1
440.3	25.1
441.0	26.0
441.6	26.0
442.3	26.3
443.0	26.3
443.7	26.4
444.4	26.4
445.1	32.4
445.8	32.7
446.4	33.7
447.1	33.7
447.8	35.7
448.5	35.7
449.2	37.9
449.9	38.2
450.5	40.3
451.2	40.3
451.9	42.9
452.6	43.3
453.2	45.3
453.9	45.8
454.6	47.0
455.3	47.1
456.0	51.0
456.6	51.0
457.3	52.7
458.0	52.8
458.7	56.0
459.3	56.1
460.0	59.6
460.7	59.6
461.4	63.8
462.0	64.2
462.7	68.0
463.4	68.2
464.0	71.7
464.7	72.1
465.4	73.6
466.1	74.1
466.7	80.5
467.4	80.8
468.1	83.3
468.7	83.5
469.4	88.8
470.1	89.1
470.7	95.5
471.4	95.7
472.1	103.7
472.7	103.8
473.4	110.4
474.1	110.7
474.7	115.8
475.4	116.1
476.1	119.4
476.7	119.5
477.4	130.1
478.0	130.4
478.7	133.0
479.4	133.5
480.0	138.5
480.7	139.0
481.3	145.0
482.0	145.4
482.7	154.1
483.3	154.1
484.0	160.9
484.6	161.2
485.3	166.0
485.9	166.5
486.6	169.5
487.3	169.6
487.9	176.9
488.6	177.2
489.2	181.2
489.9	181.9
490.5	187.6
491.2	188.0
491.8	193.0
492.5	193.2
493.1	196.9
493.8	196.9
494.4	197.3
495.1	197.3
495.7	195.9
496.4	195.9
497.0	194.7
497.7	194.7
498.3	193.6
499.0	193.5
499.6	191.5
500.3	191.2
500.9	188.1
501.6	187.8
502.2	183.7
502.8	183.6
503.5	178.8
504.1	178.5
504.8	174.4
505.4	174.0
506.1	170.3
506.7	170.0
507.3	168.4
508.0	168.3
508.6	163.2
509.3	163.0
509.9	161.8
510.5	161.3
511.2	158.4
511.8	158.0
512.5	155.0
513.1	154.9
513.7	150.5
514.4	150.4
515.0	147.1
515.6	146.7
516.3	144.4
516.9	144.1
517.5	142.5
518.2	142.5
518.8	140.8
519.4	140.5
520.1	138.8
520.7	138.2
521.3	134.9
522.0	134.6
522.6	130.4
523.2	130.3
523.8	125.5
524.5	125.4
525.1	121.5
525.7	121.2
526.4	118.2
527.0	118.0
527.6	115.8
528.2	115.7
528.9	109.2
529.5	109.1
530.1	107.9
530.7	107.6
531.4	105.7
532.0	105.5
532.6	102.8
533.2	102.7
533.8	100.4
534.5	100.3
535.1	97.7
535.7	97.5
536.3	95.4
536.9	95.0
537.6	94.0
538.2	93.8
538.8	93.1
539.4	92.9
540.0	92.3
540.7	92.1
541.3	90.7
541.9	90.9
542.5	89.8
543.1	90.0
543.7	88.3
544.3	88.3
545.0	87.0
545.6	87.0
546.2	85.8
546.8	85.8
547.4	85.2
548.0	85.2
548.6	81.7
549.2	81.7
549.8	81.8
550.5	81.9
551.1	82.0
551.7	82.2
552.3	82.2
552.9	82.3
553.5	82.7
554.1	82.8
554.7	83.0
555.3	83.3
555.9	83.5
556.5	83.7
557.1	83.9
557.7	84.0
558.3	82.9
558.9	83.2
559.5	83.1
560.1	83.7
560.7	83.0
561.3	83.3
561.9	82.9
562.5	83.1
563.1	81.8
563.7	81.9
564.3	81.5
564.9	81.9
565.5	81.2
566.1	81.6
566.7	81.5
567.3	81.6
567.9	80.0
568.5	80.1
569.1	79.5
569.7	79.8
570.3	78.5
570.9	78.8
571.5	76.9
572.1	77.0
572.7	76.6
573.3	76.8
573.9	75.3
574.4	75.7
575.0	74.7
575.6	75.1
576.2	74.6
576.8	74.8
577.4	72.5
578.0	72.7
578.6	72.5
579.2	72.6
579.7	71.7
580.3	72.0
580.9	70.2
581.5	70.4
582.1	69.0
582.7	69.0
583.3	67.8
583.8	68.0
584.4	66.8
585.0	67.1
585.6	67.6
