Mode,Time(s),Value
ohm2W,0.0713509992,30610.2372
ohm2W,0.2713699937,30632.4534
ohm2W,0.4713709950,30654.4301
ohm2W,0.6762160063,30677.0954
ohm2W,0.8762009740,30698.9523
ohm2W,1.0762230158,30719.2823
ohm2W,1.2762830257,30739.7020
ohm2W,1.4764070511,30761.1697
ohm2W,1.6763080359,30781.7690
ohm2W,1.8763120174,30802.3385
ohm2W,2.0764150620,30822.8181
ohm2W,2.2763910294,30843.2977
ohm2W,2.4764199257,30864.3762
ohm2W,2.6764669418,30884.8259
ohm2W,2.8764979839,30905.0959
ohm2W,3.0765030384,30924.3479
ohm2W,3.2765600681,30943.0012
ohm2W,3.4765551090,30960.9059
ohm2W,3.6765570641,30978.0920
ohm2W,3.8770060539,30994.7990
ohm2W,4.0767469406,31012.0151
ohm2W,4.2766871452,31029.3808
ohm2W,4.4768381119,31046.2077
ohm2W,4.6768369675,31062.6153
ohm2W,4.8767991066,31079.4122
ohm2W,5.0769481659,31095.7600
ohm2W,5.2768778801,31113.0359
ohm2W,5.4769110680,31141.1804
ohm2W,5.6770601273,31156.7797
ohm2W,5.8769688606,31172.1394
ohm2W,6.0770130157,31186.9302
ohm2W,6.2771611214,31201.7510
ohm2W,6.4770860672,31216.1825
ohm2W,6.6770949364,31230.4344
ohm2W,6.8772220612,31244.0276
ohm2W,7.0771417618,31258.0999
ohm2W,7.2771601677,31272.2919
ohm2W,7.4771971703,31285.8851
ohm2W,7.6772232056,31298.6699
ohm2W,7.8774280548,31310.2571
ohm2W,8.0773267746,31323.9700
ohm2W,8.2773599625,31337.5033
ohm2W,8.4775047302,31350.5277
ohm2W,8.6774225235,31364.4502
ohm2W,8.8774261475,31378.6422
ohm2W,9.0774774551,31393.4630
ohm2W,9.2775049210,31407.6251
ohm2W,9.4775247574,31421.3081
ohm2W,9.6775789261,31435.3504
ohm2W,9.8780231476,31449.6323
ohm2W,10.0776329041,31463.9141
ohm2W,10.2777891159,31476.8187
ohm2W,10.4777145386,31489.2142
ohm2W,10.6777276993,31501.8493
ohm2W,10.8778619766,31515.2629
ohm2W,11.0777807236,31528.8561
ohm2W,11.2778034210,31542.2995
ohm2W,11.4779462814,31555.5035
ohm2W,11.6778640747,31569.0668
ohm2W,11.8779067993,31581.8516
ohm2W,12.0780458450,31596.9718
ohm2W,12.2779693604,31611.9123
ohm2W,12.4779939651,31624.0983
ohm2W,12.6781301498,31634.7273
ohm2W,12.8780403137,31641.7634
ohm2W,13.0780601501,31649.7876
ohm2W,13.2781333923,31662.7820
ohm2W,13.4781599045,31675.5069
ohm2W,13.6781740189,31686.2857
ohm2W,13.8782339096,31698.2022
ohm2W,14.0782623291,31710.0588
ohm2W,14.2782802582,31722.4244
ohm2W,14.4783096313,31734.8200
ohm2W,14.6783294678,31746.3173
ohm2W,14.8803052902,31757.5751
ohm2W,15.0802087784,31769.0425
ohm2W,15.2802257538,31781.1087
ohm2W,15.4802598953,31793.4144
ohm2W,15.6802787781,31805.4507
ohm2W,15.8803443909,31817.6067
ohm2W,16.0804710388,31828.9544
ohm2W,16.2804965973,31840.0625
ohm2W,16.4804267883,31851.5897
ohm2W,16.6805820465,31862.6679
ohm2W,16.8805351257,31873.2071
ohm2W,17.0805320740,31883.3272
ohm2W,17.2806568146,31895.2736
ohm2W,17.4805755615,31907.8488
ohm2W,17.6806049347,31919.5557
ohm2W,17.8807563782,31931.2327
ohm2W,18.0806674957,31943.1792
ohm2W,18.2806797028,31955.0058
ohm2W,18.4808216095,31966.2337
ohm2W,18.6807327271,31977.1023
ohm2W,18.8808078766,31987.4020
ohm2W,19.0807991028,31998.5699
ohm2W,19.2808074951,32010.2170
ohm2W,19.4808120728,32021.8940
ohm2W,19.6808471680,32032.3733
ohm2W,19.8809032440,32041.1460
ohm2W,20.0808715820,32050.1582
ohm2W,20.2809276581,32061.1166
ohm2W,20.4811592102,32072.6738
ohm2W,20.6812038422,32082.6442
ohm2W,20.8843879700,32092.4349
ohm2W,21.0844192505,32102.0160
ohm2W,21.2864646912,32111.5671
ohm2W,21.4864959717,32121.8369
ohm2W,21.6864032745,32130.9390
ohm2W,21.8865413666,32138.9033
ohm2W,22.0864849091,32147.7059
ohm2W,22.2864875793,32154.7121
ohm2W,22.4866485596,32160.7602
ohm2W,22.6865711212,32167.5568
ohm2W,22.8866081238,32174.7725
ohm2W,23.0867595673,32182.1081
ohm2W,23.2866954803,32190.8808
ohm2W,23.4867076874,32200.6116
ohm2W,23.6868495941,32209.6238
ohm2W,23.8867874146,32217.4384
ohm2W,24.0868072510,32224.5644
ohm2W,24.2868404388,32232.4987
ohm2W,24.4868659973,32239.8941
ohm2W,24.6868762970,32247.1398
ohm2W,24.8869113922,32254.8646
ohm2W,25.0869331360,32263.3379
ohm2W,25.2869586945,32270.8531
ohm2W,25.4869823456,32277.5898
ohm2W,25.6871356964,32284.2367
ohm2W,25.8870353699,32293.2489
ohm2W,26.0872058868,32305.7643
ohm2W,26.2871398926,32316.5729
ohm2W,26.4871406555,32322.1120
ohm2W,26.6872959137,32326.6631
ohm2W,26.8872165680,32330.4057
ohm2W,27.0872306824,32334.9866
ohm2W,27.2873725891,32341.0048
ohm2W,27.4872875214,32345.9450
ohm2W,27.6873283386,32353.9393
ohm2W,27.8874607086,32359.0891
ohm2W,28.0873680115,32365.9157
ohm2W,28.2873992920,32372.0236
ohm2W,28.4875431061,32378.3711
ohm2W,28.6874713898,32384.6886
ohm2W,28.8874988556,32391.4553
ohm2W,29.0876502991,32398.4316
ohm2W,29.2875900269,32406.0964
ohm2W,29.4875926971,32412.8930
ohm2W,29.6877193451,32420.2286
ohm2W,29.8876476288,32427.8935
ohm2W,30.0876789093,32435.7679
ohm2W,30.2877101898,32444.1813
ohm2W,30.4877319336,32451.6965
ohm2W,30.6877479553,32458.8225
ohm2W,30.8877964020,32465.8287
ohm2W,31.0878162384,32472.5654
ohm2W,31.2878379822,32478.7931
ohm2W,31.4878711700,32484.7813
ohm2W,31.6883125305,32490.7994
ohm2W,31.8879470825,32495.1708
ohm2W,32.0881080627,32501.0093
ohm2W,32.2880287170,32508.0754
ohm2W,32.4880485535,32515.6804
ohm2W,32.6881752014,32523.0159
ohm2W,32.8880996704,32529.5730
ohm2W,33.0901184082,32535.2019
ohm2W,33.2900962830,32541.4595
ohm2W,33.4900207520,32548.7053
ohm2W,33.6901931763,32555.2324
ohm2W,33.8900642395,32557.5678
ohm2W,34.0900802612,32561.6098
ohm2W,34.2902336121,32568.4663
ohm2W,34.4901618958,32574.2150
ohm2W,34.6902008057,32580.6523
ohm2W,34.8903274536,32586.4908
ohm2W,35.0902633667,32591.8502
ohm2W,35.2903022766,32598.1677
ohm2W,35.4904251099,32603.2577
ohm2W,35.6903381348,32605.2039
ohm2W,35.8903732300,32610.3238
ohm2W,36.0905151367,32619.2162
ohm2W,36.2904281616,32625.8033
ohm2W,36.4904479980,32630.8333
ohm2W,36.6904907227,32636.7018
ohm2W,36.8905296326,32643.3187
ohm2W,37.0905342102,32649.3369
ohm2W,37.2905731201,32654.3969
ohm2W,37.4906158447,32659.4569
ohm2W,37.6906433105,32664.6666
ohm2W,37.8907890320,32669.2476
ohm2W,38.0908813477,32673.1399
ohm2W,38.2908554077,32677.9604
ohm2W,38.4909934998,32682.9007
ohm2W,38.6909141541,32689.7272
ohm2W,38.8909606934,32695.0867
ohm2W,39.0910682678,32695.3561
ohm2W,39.2910156250,32698.3502
ohm2W,39.4932632446,32702.7216
ohm2W,39.6932945251,32708.9493
ohm2W,39.8932151794,32715.8956
ohm2W,40.0958061218,32721.8239
ohm2W,40.2957458496,32727.9020
ohm2W,40.4957618713,32733.7404
ohm2W,40.6958923340,32739.0400
ohm2W,40.8958168030,32744.2198
ohm2W,41.0958480835,32749.4295
ohm2W,41.2958526611,32754.7291
ohm2W,41.4959068298,32760.0885
ohm2W,41.6959457397,32765.1785
ohm2W,41.8966865540,32769.9091
ohm2W,42.0966033936,32775.9273
ohm2W,42.2966194153,32782.4544
ohm2W,42.4967689514,32788.7420
ohm2W,42.6967048645,32794.0116
ohm2W,42.8967247009,32798.8920
ohm2W,43.0968627930,32803.2035
ohm2W,43.2967681885,32807.1257
ohm2W,43.4967956543,32812.1558
ohm2W,43.6968536377,32816.9164
ohm2W,43.8968925476,32821.9166
ohm2W,44.0969123840,32827.9946
ohm2W,44.2970275879,32834.8810
ohm2W,44.4971733093,32841.0489
ohm2W,44.6970901489,32847.1269
ohm2W,44.8972396851,32853.5941
ohm2W,45.0971832275,32859.6422
ohm2W,45.2972145081,32865.8400
ohm2W,45.4973487854,32872.7563
ohm2W,45.6972770691,32880.2116
ohm2W,45.8973045349,32887.4274
ohm2W,46.0974464417,32894.1043
ohm2W,46.2973823547,32900.3020
ohm2W,46.4974098206,32905.9609
ohm2W,46.6974563599,32911.4700
ohm2W,46.8974800110,32917.9073
ohm2W,47.0979652405,32924.2848
ohm2W,47.2978858948,32930.1831
ohm2W,47.4979209900,32935.6024
ohm2W,47.6980667114,32941.2313
ohm2W,47.8979682922,32945.4830
ohm2W,48.0979690552,32949.2256
ohm2W,48.2980232239,32953.1179
ohm2W,48.4980697632,32956.8905
ohm2W,48.6980743408,32961.5912
ohm2W,48.8981437683,32966.0823
ohm2W,49.0985908508,32968.7770
ohm2W,49.2981987000,32972.1304
ohm2W,49.4983367920,32975.4239
ohm2W,49.6982727051,32979.5558
ohm2W,49.8982849121,32987.3105
ohm2W,50.0984230042,32989.2866
ohm2W,50.2983512878,32991.4723
ohm2W,50.4983711243,32995.0353
ohm2W,50.6985092163,32998.4785
ohm2W,50.8984451294,33001.7420
ohm2W,51.0984802246,33004.5864
ohm2W,51.2986030579,33007.2811
ohm2W,51.4985351562,33010.9639
ohm2W,51.6985664368,33015.1556
ohm2W,51.8987274170,33019.6767
ohm2W,52.0986557007,33023.8085
ohm2W,52.2986717224,33028.1799
ohm2W,52.4987373352,33032.9106
ohm2W,52.6987533569,33037.0724
ohm2W,52.9000358582,33040.4258
ohm2W,53.0999145508,33042.7013
ohm2W,53.2999114990,33044.2283
ohm2W,53.5001296997,33046.0247
ohm2W,53.7059783936,33047.8811
ohm2W,53.9000434875,33050.1566
ohm2W,54.1002922058,33054.1986
ohm2W,54.3002777100,33058.8395
ohm2W,54.5002441406,33062.4324
ohm2W,54.7003517151,33064.6181
ohm2W,54.9003028870,33066.8936
ohm2W,55.1003189087,33070.7560
ohm2W,55.3004913330,33074.7980
ohm2W,55.5003585815,33078.6304
ohm2W,55.7003974915,33081.7144
ohm2W,55.9235534668,33083.4210
ohm2W,56.1235351562,33085.0977
ohm2W,56.3235511780,33087.6127
ohm2W,56.5234718323,33090.7565
ohm2W,56.7234802246,33093.6309
ohm2W,56.9235687256,33096.3854
ohm2W,57.1235923767,33099.0202
ohm2W,57.3235969543,33101.4155
ohm2W,57.5236320496,33102.8527
ohm2W,57.7236442566,33103.9904
ohm2W,57.9302597046,33105.0983
ohm2W,58.1301727295,33105.8168
ohm2W,58.3301773071,33106.5055
ohm2W,58.5303421021,33107.1941
ohm2W,58.7302818298,33108.3319
ohm2W,58.9302978516,33109.7391
ohm2W,59.1305809021,33110.6972
ohm2W,59.3304405212,33111.1763
ohm2W,59.5305747986,33111.2661
ohm2W,59.7305107117,33110.2780
ohm2W,59.9366760254,33108.5415
ohm2W,60.1368522644,33106.9246
ohm2W,60.3368377686,33105.6671
ohm2W,60.5369377136,33104.2599
ohm2W,60.7368736267,33102.2539
ohm2W,60.9368629456,33100.6670
ohm2W,61.1370162964,33101.0862
ohm2W,61.3370399475,33103.1221
ohm2W,61.5369529724,33106.5953
ohm2W,61.7371025085,33110.1882
ohm2W,61.9370574951,33114.2302
ohm2W,62.1373596191,33118.6316
ohm2W,62.3371086121,33123.2724
ohm2W,62.5371017456,33127.7037
ohm2W,62.7371101379,33132.0451
ohm2W,62.9372596741,33136.6261
ohm2W,63.1401519775,33141.5963
ohm2W,63.3401031494,33146.1174
ohm2W,63.5402488708,33150.7283
ohm2W,63.7401771545,33155.2194
ohm2W,63.9402389526,33159.5609
ohm2W,64.1403427124,33164.1119
